,COUNTY_NAME,COUNTY_CODE,OFFENSE_TYPE_ID,OFFENSE_NAME,INCIDENT_COUNT
337,"['PARKER', ' DENTON', ' TARRANT']","[184, 61, 220]",56,Fondling,18
338,['TARRANT'],[220],56,Fondling,3
339,['TARRANT'],[220],56,Fondling,1
340,['TARRANT'],[220],56,Fondling,1
341,"['ELLIS', ' JOHNSON', ' TARRANT']","[70, 126, 220]",56,Fondling,1
342,['TARRANT'],[220],56,Fondling,3
343,['TITUS'],[225],56,Fondling,1
344,['TRAVIS'],[227],56,Fondling,2
345,"['WILLIAMSON', ' TRAVIS']","[246, 227]",56,Fondling,32
346,['TRAVIS'],[227],56,Fondling,1
347,['UPSHUR'],[230],56,Fondling,1
348,['WALKER'],[236],56,Fondling,2
349,['WALKER'],[236],56,Fondling,6
350,['WEBB'],[240],56,Fondling,1
351,['WEBB'],[240],56,Fondling,15
352,['WHARTON'],[241],56,Fondling,1
353,"['TRAVIS', ' WILLIAMSON']","[227, 246]",56,Fondling,1
354,"['TRAVIS', ' WILLIAMSON']","[227, 246]",56,Fondling,1
355,['WILSON'],[247],56,Fondling,1
356,['WISE'],[249],56,Fondling,1
357,"['DENTON', ' COLLIN', ' DALLAS']","[61, 43, 57]",56,Fondling,14
358,"['MONTGOMERY', ' FORT BEND', ' HARRIS']","[170, 79, 101]",56,Fondling,20
359,"['MEDINA', ' BEXAR']","[163, 15]",56,Fondling,2
360,['ROCKWALL'],[199],56,Fondling,1
361,"['NUECES', ' ARANSAS', ' SAN PATRICIO']","[178, 4, 205]",8,Pornography/Obscene Material,1
362,['BASTROP'],[11],8,Pornography/Obscene Material,1
363,['BELL'],[14],8,Pornography/Obscene Material,2
364,['BELL'],[14],8,Pornography/Obscene Material,2
365,['BELL'],[14],8,Pornography/Obscene Material,1
366,['BEXAR'],[15],8,Pornography/Obscene Material,1
367,"['FORT BEND', ' HARRIS', ' BRAZORIA']","[79, 101, 20]",8,Pornography/Obscene Material,6
368,['BRAZOS'],[21],8,Pornography/Obscene Material,4
369,['BROWN'],[25],8,Pornography/Obscene Material,1
370,['BURNET'],[27],8,Pornography/Obscene Material,1
371,['CALHOUN'],[29],8,Pornography/Obscene Material,2
372,['CAMERON'],[31],8,Pornography/Obscene Material,1
373,['CAMERON'],[31],8,Pornography/Obscene Material,1
374,['CHAMBERS'],[36],8,Pornography/Obscene Material,3
375,['CHAMBERS'],[36],8,Pornography/Obscene Material,1
376,['COLLIN'],[43],8,Pornography/Obscene Material,14
377,"['DENTON', ' COLLIN']","[61, 43]",8,Pornography/Obscene Material,1
378,['COLLIN'],[43],8,Pornography/Obscene Material,2
379,"['DENTON', ' COLLIN']","[61, 43]",8,Pornography/Obscene Material,5
380,"['DALLAS', ' ROCKWALL', ' COLLIN']","[57, 199, 43]",8,Pornography/Obscene Material,1
381,"['GUADALUPE', ' COMAL']","[94, 46]",8,Pornography/Obscene Material,2
382,['CORYELL'],[50],8,Pornography/Obscene Material,2
383,"['COLLIN', ' DALLAS', ' DENTON']","[43, 57, 61]",8,Pornography/Obscene Material,2
384,"['COLLIN', ' DALLAS']","[43, 57]",8,Pornography/Obscene Material,3
385,"['ELLIS', ' TARRANT', ' DALLAS']","[70, 220, 57]",8,Pornography/Obscene Material,2
386,['DALLAS'],[57],8,Pornography/Obscene Material,9
387,"['KAUFMAN', ' DALLAS']","[129, 57]",8,Pornography/Obscene Material,2
388,"['COLLIN', ' DALLAS']","[43, 57]",8,Pornography/Obscene Material,1
389,['DENTON'],[61],8,Pornography/Obscene Material,7
390,"['DALLAS', ' DENTON']","[57, 61]",8,Pornography/Obscene Material,1
391,['ELLIS'],[70],8,Pornography/Obscene Material,1
392,['EL PASO'],[71],8,Pornography/Obscene Material,4
393,['FORT BEND'],[79],8,Pornography/Obscene Material,1
394,['FREESTONE'],[81],8,Pornography/Obscene Material,2
395,"['HARRIS', ' GALVESTON']","[101, 84]",8,Pornography/Obscene Material,1
396,['GRAYSON'],[91],8,Pornography/Obscene Material,1
397,['GREGG'],[92],8,Pornography/Obscene Material,2
